Epoch,AvgPSNR
1,"(13.368688538853444,)"
2,"(13.538235714931439,)"
3,"(13.58323356128698,)"
4,"(13.742714891060013,)"
5,"(13.787151823593454,)"
6,"(13.85476230389155,)"
7,"(13.89852884196569,)"
8,"(13.90679867135558,)"
9,"(14.058543238329795,)"
10,"(14.046331559900521,)"
11,"(14.43516433435861,)"
12,"(14.53320947299737,)"
13,"(14.659864890570516,)"
14,"(14.657256960725029,)"
15,"(14.686187321761226,)"
16,"(14.692496799956233,)"
17,"(14.69423763889724,)"
18,"(14.699197959656457,)"
19,"(14.69871745690166,)"
20,"(14.697451462528734,)"
21,"(14.696525437195234,)"
22,"(14.701039134722578,)"
23,"(14.699489014847845,)"
24,"(14.704797351165025,)"
25,"(14.699473579049117,)"
26,"(14.699592647352091,)"
27,"(14.696674597468204,)"
28,"(14.70870943711025,)"
29,"(14.704494006978688,)"
30,"(14.7026219347336,)"
31,"(14.702007366004182,)"
32,"(14.7037419555122,)"
33,"(14.700914015936066,)"
34,"(14.699443303654611,)"
35,"(14.709764478642299,)"
36,"(14.701211770950763,)"
37,"(14.703624045108452,)"
38,"(14.699802128265565,)"
39,"(14.710633757671888,)"
40,"(14.704134360180884,)"
41,"(14.694184424095502,)"
42,"(12.680934520263124,)"
43,"(13.067292417262058,)"
44,"(13.29948213272013,)"
45,"(13.496911667400813,)"
46,"(13.523120327344621,)"
47,"(13.514327647030784,)"
48,"(13.556773570139601,)"
49,"(13.678492266638765,)"
50,"(13.623167741612164,)"
51,"(13.636470945948526,)"
52,"(13.696023534193067,)"
53,"(13.731697032219278,)"
54,"(13.754350118598273,)"
55,"(13.702588791294621,)"
56,"(13.763068335079337,)"
57,"(13.778504275284991,)"
58,"(13.662277686428547,)"
59,"(13.800730484045738,)"
60,"(13.84006137107228,)"
61,"(13.87506211711085,)"
62,"(13.860932313820062,)"
63,"(13.92809794954055,)"
64,"(13.877919412190229,)"
65,"(13.961827169415345,)"
66,"(13.960281668096604,)"
67,"(14.054837500132981,)"
68,"(14.114702559819914,)"
69,"(14.316935826648812,)"
70,"(14.268324840890754,)"
71,"(14.306022657059957,)"
72,"(14.257361313691517,)"
73,"(14.422624981371017,)"
74,"(14.552432700502997,)"
75,"(14.619718191250888,)"
76,"(14.626720762173147,)"
77,"(14.648978214258559,)"
78,"(14.654338903309634,)"
79,"(14.66320337875001,)"
80,"(14.676159035767641,)"
81,"(14.67115468841419,)"
82,"(14.6716557142646,)"
83,"(14.677074602932121,)"
84,"(14.684149075219496,)"
85,"(14.682679704459362,)"
86,"(14.688839028079176,)"
87,"(14.691096237144004,)"
88,"(14.689337086859712,)"
89,"(14.68979320115711,)"
90,"(14.687847052509982,)"
91,"(14.683323338733326,)"
92,"(14.684460514994193,)"
93,"(14.692662464767901,)"
94,"(14.686657103956271,)"
95,"(14.694552182624669,)"
96,"(14.695400553280608,)"
97,"(14.704057002833416,)"
98,"(14.698215524507336,)"
99,"(14.690974508165592,)"
100,"(14.692387444968302,)"
101,"(14.691607922785183,)"
102,"(14.694700019913704,)"
103,"(14.70058889649338,)"
104,"(14.699163926791554,)"
105,"(14.699027826556284,)"
106,"(14.691836241037022,)"
107,"(14.697677930159239,)"
108,"(14.693132912100237,)"
109,"(14.699432538766606,)"
110,"(14.701451970013848,)"
111,"(14.699818169876606,)"
112,"(14.695043113157462,)"
113,"(14.695266050776263,)"
114,"(14.696776168793177,)"
115,"(14.695108969344929,)"
116,"(14.697754849496725,)"
117,"(14.696310590200548,)"
118,"(14.697037751849795,)"
119,"(14.698446330493184,)"
120,"(14.698850300302817,)"
121,"(14.699548650958626,)"
122,"(14.700561552683315,)"
123,"(14.701671025330388,)"
124,"(14.693098322889597,)"
125,"(14.692992574382393,)"
126,"(14.70029728176058,)"
127,"(14.701783884958045,)"
128,"(14.69692305791669,)"
129,"(14.69673997545865,)"
130,"(14.700326467727878,)"
131,"(14.70081244312923,)"
132,"(14.69759625152492,)"
133,"(14.706692450643883,)"
134,"(14.69870580521259,)"
135,"(14.6962393030112,)"
136,"(14.700998568397925,)"
137,"(14.70207230700695,)"
138,"(14.700783691006281,)"
139,"(14.703400286173673,)"
140,"(14.701017579799423,)"
141,"(14.696371089119443,)"
142,"(14.702373540264473,)"
143,"(14.70062060414155,)"
144,"(14.700207720040611,)"
145,"(14.697613454303054,)"
146,"(14.699163055039621,)"
147,"(14.702105142634482,)"
148,"(14.703592480130222,)"
149,"(14.701758528620521,)"
150,"(14.698411616032148,)"
151,"(14.706164263726428,)"
152,"(14.70070755907619,)"
153,"(14.700795091856778,)"
154,"(14.696754811911605,)"
155,"(14.698100712333266,)"
156,"(14.699928600807924,)"
157,"(14.69954261520057,)"
158,"(14.70099280383461,)"
159,"(14.694976424894909,)"
160,"(14.699902599699316,)"
161,"(14.698440078719255,)"
162,"(14.70076062996811,)"
163,"(14.7024595308489,)"
164,"(14.697611326404308,)"
165,"(14.702557528793202,)"
166,"(14.696796235698658,)"
167,"(14.701047139013227,)"
168,"(14.701223929440735,)"
169,"(14.69687298909665,)"
170,"(14.700221329819689,)"
171,"(14.7002646608425,)"
172,"(14.701802941899619,)"
173,"(14.70213737325805,)"
174,"(14.702573686242498,)"
175,"(14.694525453561713,)"
